location,date,thanks,text
"Westbrook, ME","Aug. 5, 2025 I became a customer in June. I was very happy that day. When I got my first bill, which was",3,"I became a customer in June. I was very happy that day. When I got my first bill, which was $67.00 more than promised, I went to a T-Mobile store where I found out a promotion had not been applied to one of the phones, which accounted for $50.00 of the overcharge. I also found out I was being charged for a 4th line for an iPad, which I did not agree to and had zero data used. I was overcharged again today because T-Mobile needs 2 or more billing cycles to fix their errors and I will not receive money - which is mine, but instead credit for T-Mobile. Exactly how tech savvy is T-Mobile that it takes upwards of 60 days to correct their error? And why do they get to decide it will be credited to my account? It's my money and their mistake."
"Mexia, TX","Aug. 5, 2025 Horrible policies and customer service. I had my phone number for 10 years with MetroPCS before T",3,"They would NOT allow me to verify myself by email, by security questions or by that 8-digit PIN they have us memorize. They said the ONLY way was for me to drive to a TMobile store. But since they don't have one closer than 2 hours from me, I would have to drive FOUR HOURS there and back to show them my ID. WTF? They also won't let me port MY NUMBER to another provider. I'm closing this ** account, losing my 10 year old phone # and going to a NEW service which runs on THEIR network and charges me LESS THAN HALF what they were charging me! I hope they CRASH AND BURN."
"The Colony, TX","Aug. 5, 2025 I purchased a wifi network box. I can",6,"I purchased a wifi network box. I can't get a hold of anyone. Don't buy anything from this fn company. They're as sorry as they Ok. T-mobile sucks, T-mobile sucks, T-mobile sucks when it comes to customer service."
"Denver, CO","Aug. 5, 2025 Customer service, every time you ask for a supervisor, the butcher holds for 2 hours and then they hang up on you and keep increasing the price for no reason, just because they can and then they charge your card and not refund your money. Use any other company, get away from T",6,"Customer service, every time you ask for a supervisor, the butcher holds for 2 hours and then they hang up on you and keep increasing the price for no reason, just because they can and then they charge your card and not refund your money. Use any other company, get away from T-Mobile."
"Vacaville, CA","Aug. 4, 2025 I was a 13 yr. Customer. I called and, went online at least 6 times in an effort to upgrade 1 of the phones",4,"I was a 13 yr. Customer. I called and, went online at least 6 times in an effort to upgrade 1 of the phones (Out of the 4 lines I was paying for). I was told that there were NO upgrades, or discounts, or promotions available that time I qualified for. I paid my bill on time every month. They had decent, but not the best offers for new customers. T-Mobile left me no choice but to become a new customer to another company. If you are just planning to take advantage of their offers, the phone service is good. But don't think you as a customer have any worth at all. After your initial offer, you will likely have to move on to another company."
"Dallas, TX","Aug. 4, 2025 If I can give 0 star I would. The customer service is a disaster. I want to cancel the service, and it took me more than 1 hour to just talk to the agent. The finally after I changed multiple agents I have the service cancelled. Then I tried to return the devices at store, and they cannot find my account, then they said my account is linked to a different name even I showed them my id. Thanks Xinying",4,"If I can give 0 star I would. The customer service is a disaster. I want to cancel the service, and it took me more than 1 hour to just talk to the agent. The finally after I changed multiple agents I have the service cancelled. Then I tried to return the devices at store, and they cannot find my account, then they said my account is linked to a different name even I showed them my id."
"Punta Gorda, FL","Aug. 4, 2025 I am separating after 38 yrs. and because my husband is listed first but keep in my mind I pay the bills, I cannot get a TX pin number to break free and keep my number. I closed the account with which you were receiving your payment so you all should have really tried to come up with a solution considering I",4,"I am separating after 38 yrs. and because my husband is listed first but keep in my mind I pay the bills, I cannot get a TX pin number to break free and keep my number. I closed the account with which you were receiving your payment so you all should have really tried to come up with a solution considering I'm in shelter and have NO contact with him. I have my own bank account. My own money but you all just lost a valued long term customer. Shame on T-mobile for their extremely poor customer service, Lori"
"Waretown, NJ","Aug. 4, 2025 Be aware that T",3,1. Called again and verified. Positive. 2. Received a bill on July 24th for $65.00. 3. Called 3 customer service reps who told me my account was closed and that should end it. 4. On Aug. 4th I spoke to 3 reps and a supervisor who said that I had nothing to worry about. Prior to speaking to the third rep.I received another bill for $9.17. So I spoke to a supervisor who tried to help me. During that call I received another bill via e mail for $65.00 and she could not explain it but said the account was closed and that should end it. So I asked for a confirmation e mail of which she said that she had no method of doing so. They could send bills via e mail but could not confirm a zero balance via e mail!!! 5. Now the FUN BEGINS!!! While talking to the supervisor I received another bill and an e mail from their collection agency and all the supervisor could say was NOTHING. I still have not received anything from T-mobile stating my account was closed or that I have a ZERO balance. My advice is: STAY AWAY FROM T-mobile!!! PS: Talking to my attorney about my credit score.
"San Rafael, CA","Aug. 4, 2025 Since switching to T",4,Since switching to T-Mobile I have spent many hours of my valuable time waiting for and on hold with customer service to correct billing errors. Having been charged for plan changes I didn't request and extra line charges I didn't ask for. And after spending 2 to 3 hours to get this straightened out it was the same thing the following 4 months and counting. If I billed them my hourly rate for time wasted they would owe me. It just appears that they have no concern for my time wasted to get their errors corrected. And the same errors keep happening month after month. I would never recommend T Mobile to anyone who doesn't have the time to babysit their charges. It seems like shady business to me. I feel it's time for a change.
"Jacksonville, FL","Aug. 4, 2025 I ordered mobile and Internet with T",3,"When I called T-Mobile I was assured that the change would be cancelled. I woke the next day to find that the charge had actually POSTED! When I called T-Mobile again, I was ""disconnected"", hmmm, twice! I ended up calling my bank and having the issue resolved through them. Which, I'm happy to say, happened very quickly. But, I was charged $5 for the new card and experienced great inconveniences! Very poor SOP's, and horrible customer service."
WA,"Aug. 3, 2025 When I signed up in 2011 I signed up with Sprint. When T",4,"When I signed up in 2011 I signed up with Sprint. When T-Mobile took over everything was bad. I travel the Country for work and their coverage is awful. When they say they have great coverage it's a bareface lie. I have the unlimited data plan, but T-Mobile counts my data and when I reach a certain small amount they claim they de-prioritize my account. At that point I can't get a signal at all. Customer service is terrible, they change your billing without letting you know about it. My advice is to stay away! There is so many negatives, that it would take hours to list all of them."
"Dayton, OH","Aug. 3, 2025 So basically to sum it up T",5,"So basically to sum it up T-Mobile sold my personal information, would not give me an explanation, and then refused to let me have a T-Mobile account because they were using my private information wrongly."
"Milwaukee, WI",8/3/2025 0:00,6,T-mobile customer service is horrible. I went in to the location in Brookfield mall to pay my phone bill and I don't know what the customer service did but T-mobile took another payment out of my bank account without my permission and refused to put my money back in my account and when calling their 1-800 number like 3 times talking to different customer service they also refuse to give me my money back. They know pulling money from a customer account without their permission is fraud and they don't care. I wouldn't recommend anyone to this company. All I have to say is don't put your card on file with them because they will take your money. This is a fraud company.
"Rock Hill, SC","Aug. 3, 2025 Special thanks to Oreo, Makaylah, and Elijah for their excellent customer service. They are at the Cherry Rd. location next to Publix in Rock Hill, SC. They were very kind and helped me with my issue very effectively and efficiently. Thanks for your vote",3,"Special thanks to Oreo, Makaylah, and Elijah for their excellent customer service. They are at the Cherry Rd. location next to Publix in Rock Hill, SC. They were very kind and helped me with my issue very effectively and efficiently."
"Brooklyn, NY","Aug. 2, 2025 Been with them for 27 years. Their customer service is the worst. Watch your bills if you charge to auto pay. They tack on charges that you don",4,"Been with them for 27 years. Their customer service is the worst. Watch your bills if you charge to auto pay. They tack on charges that you don’t owe. When I mentioned I was a 26 yr customer the rep responded no I were not, I were with sprint! I didn’t do the M&A, they did! They raised my bill saying it was a promotion $12.00 and changed their username terms of a contract. They are liars and as soon as I pay off my phone I am done with them. I can’t take it. No one wants to be lied to and gaslit by some young punks in the Philippines who I can’t understand. They sound half dead or high."
"Salt Lake City, UT","Aug. 2, 2025 I switched to T",5,"I switched to T-Mobile thinking it would be lower, but it is not. I had two phones. One was stolen & T-Mobile did nothing to replace. They continued to keep the stolen phone on my acct. and I’m still paying for a phone that was stolen. Disconnect my phone & I lost people or important things in my life because of the degrading actions & comments they say. All about getting money & trying to get a transfer to go to another carrier is a nightmare. I guess it’s time for a lawsuit."
"Silver Spring, MD","Aug. 2, 2025 On July 18, I was enrolled in a 6",4,"And yet today? They’re threatening to shut my phone off again, saying the hardship program they offered me “shouldn’t have been offered” and demanding I pay the full $264 past due—even though they knowingly included that same amount in the payment plan I already enrolled in. They’re now pretending their system “won’t allow” them to honor the agreement."
"Detroit, MI","Aug. 2, 2025 Honestly a terrible experience since they took over Sprint. I had no issues prior. Wanted to change my plan and it was a nightmare. Now I",2,Honestly a terrible experience since they took over Sprint. I had no issues prior. Wanted to change my plan and it was a nightmare. Now I'm getting bill randomly constantly switching asap to something better.
"Boiling Springs, SC","Aug. 2, 2025 I am excited to write this review",2,"I am excited to write this review! In July, I needed to change our service from Verizon to T-Mobile. I did not need an appointment. Brandon, Ashton and Cory at the Boiling Springs, SC store took care of everything. They walked me through the app on my phone From someone who doesn’t know a lot about technology, I was very pleased that they took the time to walk me through the app and explain all the perks. They were busy, but greeted everyone who walked in. I would recommend this store and these guys for anyone needing to change carriers."
"French Lick, IN","Aug. 2, 2025 I switched to T",4,"I switched to T-Mobile from Verizon after being promised my bill would be slashed in half. That was the entire reason I made the switch. Instead, my bill last month was more than double the promised amount. This month, it’s nearly doubled again. I delayed paying last month's bill while trying to resolve the issue, but after T-Mobile disconnected my service due to nonpayment, I was forced to pay the full amount—even though the billing error wasn’t resolved. Now I’m again trying to get this month’s bill corrected, but T-Mobile customer service is telling me they ""can't access"" the previous chat where the lower payment was clearly promised. It’s incredibly frustrating to be held to charges that contradict what was promised during the sign-up process. I was misled into switching, and now I’m stuck paying more, not less. T-Mobile should honor the original quoted rate and take accountability for the promises made during onboarding."
"Manteca, CA","Aug. 2, 2025 This phone company is a theft. Raising bill, hidden fee, turns the auto payment off and charge you more. Unknowledgeable customer service that they know nothing. The customer service that should be up 24",5,"This phone company is a theft. Raising bill, hidden fee, turns the auto payment off and charge you more. Unknowledgeable customer service that they know nothing. The customer service that should be up 24/7 hours are sleeping. So imagine if you are dying on a situation and suddenly your phone is disconnect, there is no way to reach to the customer service."
"Newark, DE","Aug. 2, 2025 I have had no internet connection for 1 month, all my calls dropped and I have missed important calls that are costly, finally and personally. I made my complaint after countless troubleshooting steps with T",2,"I have had no internet connection for 1 month, all my calls dropped and I have missed important calls that are costly, finally and personally. I made my complaint after countless troubleshooting steps with T-Mobile and it still goes on every day. All the phone companies have way too much interferences and T-Mobile has recently become worse than AT&T. Of course they put a ""Ticket"" in...SMH."
"Fontana, CA","Aug. 2, 2025 I checked my bill and had a question about how much I was being charged monthly. I called the T",5,"I got confused and told her I had been a customer for 4 years. Then she felt the need to correct me and say I had been a customer for 3 years and 11 months. I told her why did that matter, since I pay my bills on time and get no credit or any kind of benefit. So I said, ""Ok, then help me lower my bill, being a customer for 3 years and 11 months"", only to be met with a change in her story that I had been a customer for 2 years and 11 months. She felt the need to keep correcting me and try to get me to change my banking account to get any kind of discount. It got me more upset; instead of fixing my issues or giving me the discount, she wanted to argue and patronize me. I asked for a supervisor and was put on hold again for ten minutes. I felt that as a customer, my business wasn't important enough. Dealing with the representative on the phone is just as bad as dealing with them in person. Switching providers ASAP."
"Trenton, NJ","Aug. 1, 2025 I have been a happy solo T",1,"I have been a happy solo T-Mobile customer since 2018. I recommended my son switch over to his own losing doesn’t fit, competitive plan today. We visited store number 2323 in downtown Trenton., NJ. Anthony was competent and expeditious, polite and engaging. Store manager Jonathan and other employees waited for the new phone to download an additional 30 minutes past closing time. While we waited, in their own words…”we became family!”. What a terrific company to be working for T-Mobile must be- I am proud to be a loyal customer. Plus- they comped us swag hats!!! :) Kudos to leadership and corporate, kudos to the team that pulls it off!"
"Philadelphia, PA","Aug. 1, 2025 I have been a customer for years and now that I want to change carriers for a lower bill, I am treated like garbage by every rep I talk to. My son",12,"I have been a customer for years and now that I want to change carriers for a lower bill, I am treated like garbage by every rep I talk to. My son's phone is being held hostage and refuse to unlock it even though it is fully paid off. I just want to pay a final bill and be done. They don't even try to keep you as a customer. Absolute trash 🗑. Another time, I asked for an extension for a payment and was advised to borrow money from friends or family. Horrible advice for ""professionals"" to give out"
"Moreno Valley, CA","Aug. 1, 2025 On February 19, 2025, I switched from T",5,"In May, I received another bill and returned to the store. A clerk connected me directly with T-Mobile customer service. I explained the issue, and after speaking to a supervisor, I was told: The charges would be dismissed, No further invoices would be sent, I would be reimbursed for the last bill. Yet, I received another bill in June, and most recently in July. I have visited the T-Mobile store multiple times trying to resolve this. As someone working two jobs, I find it unreasonable to continually address the same issue caused by T-Mobile’s failure to cancel my account properly."
"Warren, RI","Aug. 1, 2025 Waited on the phone for 35 minutes for a supervisor name Val. She needs to go to school and learn about customer service and conflict and understanding and managing situations correctly. Customer service is the most important thing in being a supervisor. Get with it foul. Correcting the whole situation not something the person is done 2 years ago. Thanks Debbi",4,Waited on the phone for 35 minutes for a supervisor name Val. She needs to go to school and learn about customer service and conflict and understanding and managing situations correctly. Customer service is the most important thing in being a supervisor. Get with it foul. Correcting the whole situation not something the person is done 2 years ago.
"Fresno, CA","Aug. 1, 2025 I",6,"When I contacted them to express my concern about this they did nothing to resolve my issue. They tried telling me that they will always send me a refurbished phone when I get a replacement phone from my insurance. That is absolutely ridiculous. I've never been mistreated by some company that I've been loyal to and paid on time every month for the last 13 to 15 years. The last time that they did this to me they made it right by having me go into the store and getting a new phone from the store, same phone just new out of the box from the T-Mobile store. This time they're trying to tell me that they cannot do that that they have to ship it to me and it will be refurbished. I don't know what T-Mobile did to change their policy or what they're doing now but this is not right and I can honestly tell you that I won't be going through them anymore. They will lose my business"
"Bethesda, MD","July 31, 2025 I have been with T",4,"I have been with T-Mobile for 8 years now, for over 4 months now, I barely have network, I can't make or receive calls and messages half the time. No data , except I'm in wifi.. I have called several times and checked Samsung to make sure my phone is ok and they said it is OK. My sim card was changed several times. They said they changed towers have network issues in my area and won't do anything about it."
Other,"July 31, 2025 I",2,"I've never been so mislead before. Have written conversations of my agreement yet no one will honor their word. Very poor business to trick a customer to get new devices and told they are ""entirely free"" and tell me my monthly bill will be 189. Plus tax then after the devices are received to then be told my bill will be $250. I tried to send back the new devices and just keep my old one and then I was told they would apply a $1000 promotion to get my monthly bill down to $223 a month. Once again I was lied to and no one else will help me. And I have all this in writing and now they are telling me I’m confused. I would say what what you agree on but they will just change that so be very careful."
"Columbus, OH","July 31, 2025 Complete trash. Worst experience ever. Spent 4 hours on the phone to set up service, cancelled the next day and was charge almost 300.00 a month later and have spent countless hours on the phone to get my money back. I wouldn",31,"Complete trash. Worst experience ever. Spent 4 hours on the phone to set up service, cancelled the next day and was charge almost 300.00 a month later and have spent countless hours on the phone to get my money back. I wouldn’t recommend them to anyone."
"Los Angeles, CA",7/31/2025 0:00,2,T-mobile is a horrible company. Their service is awful along with their customer service and they do not honor anything that reps tell customers. They also try to talk over you when trying to get a point across and prove them wrong. So glad to be gone.
"Loganville, GA","July 31, 2025 The worst customer service, I have had nothing but incorrect information from them for a week on a phone that quit working and they don",31,"The worst customer service, I have had nothing but incorrect information from them for a week on a phone that quit working and they don’t care, I have had to do all the calling, been told incorrect information on my non working phone by 4 employee and I have had their service for years and have several devices with them. I will never use them again"
"Houston, TX","July 31, 2025 This company scams people, every month they will add a charge, and customers won",31,"This company scams people, every month they will add a charge, and customers won't even notice, also they will add a payment after billing cycle and won't be able to remove it till end of month, but charge needs to be pay, please stay away, every month I'm having a problem, only here customers of number, think about it before going with them...."
"Buda, TX","July 31, 2025 Manager Gabriel, the guy pictured on their website needs more training in customer service. Start with the basics",2,"Manager Gabriel, the guy pictured on their website needs more training in customer service. Start with the basics ""sir"", ""ma'am"", and ""how can we help"". Dude is a straight up liar and has an attitude problem. Sir, if you do not like your job that much, then I suggest finding another one, rather than costing your company accounts. Unless customer retention is not a concern, then keep up the good work....I'm considering switching service now because of him after about 10 years. Keep up the good work ""sir"". Waiting on any response from that store front....7.30.25. The gentleman on the left is Gabriel."
"Detroit, MI","July 31, 2025 I had a five",31,"I had a five-hour Amtrak layover in Chicago (Jackson, MS. via Detroit, MI) layover and needless to say, I find myself in ""Charging Crisis Mode"", after a fifteen-hour train ride. I had visited the T-Mobile Store on 120 Halsted Ave, Chicago, IL. 60661. ** (Store Manager) assisted me both times, and I sincerely would like to say T-Mobile is very fortunate to have such a loyal employee. The service was far above the normal societal standards."
"Silver Spring, MD","July 31, 2025 Both women in the Prince Frederick store are very rude and always refuse to help any one with warranty issues and tell you to call T",31,Both women in the Prince Frederick store are very rude and always refuse to help any one with warranty issues and tell you to call T-Mobile yourself then they do nothing about the phones. I have had them screw up my phone several times and had to go to another store to get it fixed.
"Smyrna, GA","July 30, 2025 They don",2,"They don't honor their offers. After confirming what I would pay to upgrade, which was supposed to be tax on the new phone, they tried to collect more from me. I cancelled the upgrade and the promotions offered. They still billed me for the lines for the promo trackers. Eventually cancelled my plan with them. I then received a 14 page bill in an oversized font for a grand total of $2. Customer service offered to pass my concern about wasted less on to the appropriate person. Gee, thanks."
"Spring Valley, CA","July 30, 2025 Service sucks in Mexico. I frequently get no service, slow data and dropped calls. Texts that take forever to send, even though it says I have 4G service. Service drops in heavily populated areas of San Diego County. They claimed these issues were my phone, did a warranty exchange, did not help at all. I owe money for two phones, they won",2,"Service sucks in Mexico. I frequently get no service, slow data and dropped calls. Texts that take forever to send, even though it says I have 4G service. Service drops in heavily populated areas of San Diego County. They claimed these issues were my phone, did a warranty exchange, did not help at all. I owe money for two phones, they won't take them back, so I'm stuck with crappy service for another year, unless I want to pay off the phone early, and lose the discount I got when I signed up. Scam!"
"Aubrey, TX","July 30, 2025 Absolutely the worst. No customer service or care. They give you the runaround for months and never address any of the issues. Their service is not worth the price you pay or the price of working with them. Thanks Christa",4,Absolutely the worst. No customer service or care. They give you the runaround for months and never address any of the issues. Their service is not worth the price you pay or the price of working with them.
"Princeton, MN","July 30, 2025 I called because after a while I realized when I bought a new phone they said there was some promotion and had to add a new line. I did not need another line and after quite a while I realized they are charging me insurance for my phone line and the new line. The new line is not attached to a device at all. They will not refund the money they took from me. I find it rude, and I feel they did it knowing people won",3,"I called because after a while I realized when I bought a new phone they said there was some promotion and had to add a new line. I did not need another line and after quite a while I realized they are charging me insurance for my phone line and the new line. The new line is not attached to a device at all. They will not refund the money they took from me. I find it rude, and I feel they did it knowing people won't catch it until it's too late and then they don't take accountability for their employee's mistakes. We have been with Sprint/T-Mobile 19 years. I will be changing to a new phone carrier!!!!"
"Dallas, TX","July 30, 2025 I was with Sprint for 16 years until T",3,"Finally, after research, I switched to AT&T. I was ONE DAY into the billing cycle with T-Mobile when I switched. THEY INSIST THAT I HAVE TO PAY FOR THE WHOLE MONTH AND NOT PRORATE. I asked to speak with a manager and she said her manager authorized her to give me a 10% discount. LOL. They just confirmed I made the right decision switching. SO BEWARE IF YOU LEAVE T-MOBILE MAKE SURE YOU DO IT BEFORE THE NEXT BILLING PERIOD OR THEY WILL CHARGE YOU FOR THE WHOLE MONTH. What a disappointment T-Mobile turned out to be. I used to joke I've been with my cell phone company longer than men I've dated or was married. I feel like I just went through a major breakup. At least the divorce was only 90 bucks."
"San Antonio, TX","July 30, 2025 Be very careful on what the customer service tells you. They like to lie about prices to make a sale. I was promised a price of 150 for 3 lines.. Then I saw my bill it was",3,"Be very careful on what the customer service tells you. They like to lie about prices to make a sale. I was promised a price of 150 for 3 lines.. Then I saw my bill it was $200. Then they lied and said they didn't say that but I record my phone calls with them, so I had proof..but they still refused to give me that price... So be careful on believing them on what they tell you."
"Citrus Heights, CA","July 30, 2025 This PLACE NEEDS A ZERO STARS 0",3,Then after 1 hour and 20 min. on the phone today July 30th 2025 I FINALLY get a man by the name of Herbie understand that yes I get 2 lines for $60.00 A month with auto payment and 2 free phones! Finally I thought I have someone who understands what's going on. Herbert had to send me to a different department to verify my I.D. and a selfie since I was never given a 4-6 digit security code. This service guy now sends me over to some dude who DOES NOT KNOW what in the H**L is going on trying to possibly me off AGAIN and tell me I do owe $118.00 a month and that he doesn't see a problem. I told him to have Herbie call me and to not EVER CALL ME BACK AGAIN!!!! THIS COMPANY SUCKS!!!!
"Santa Fe, NM","July 29, 2025 Company was pretty good for most of the 17 years I was a customer. Service area is limited, but every few years they upgrade their network, making whatever phone I was using obsolete, requiring me to get a new phone. Recently purchased one through an offer but got the old bait",2,"When I tried to get a partial refund, I was assured I would get one but didn't because no store or agent would do it. I just got more broken promises and lies. People at the stores were only concerned with making a sale, not helping me after the sale. One was even outright rude before we even got started. I've never experienced this with T-Mobile before and I'm more than furious about it. I've never felt so unvalued and ripped off as a long-time customer. I am looking for a way out. I suggest you, the reader, never get started."
"Huntsville, AL","July 29, 2025 I thought I maybe could save some money with T",2,"I thought I maybe could save some money with T-Mobile. Wasn’t feeling Verizon’s charges lately. Set up the account with t mobile but still was not sure about changing providers. So I decided to stay with Verizon didn’t activate the service or use it. They still charged me $91.77 and lied and made me jump through hoops for my refund, all $25.41 of it. Never said they would charge me for anything. Said I would get my refund since I didn’t use the service. Seems like a rip off to me. I will never consider you again…"
"Charlotte, NC","July 29, 2025 Made the mistake from switching to T",2,"Made the mistake from switching to T-Mobile from Verizon. T-Mobile should be able to handle a big city like Charlotte, North Carolina and all the suburbs around it but unfortunately, the service is very spotty and is nothing compared to Verizon. Don’t waste your money going to T-Mobile until they figure their issues out in the Charlotte surrounding area areas... It is rare to have full service with T-Mobile at any time in the south Charlotte to Rock Hill, South Carolina areas:"
"Chepachet, RI","July 29, 2025 I attempted to switch over from Verizon to T Mobile as I have not had good cell service with Verizon. Despite being on the phone for over 2 hours with customer representative and tech person they were unable to connect my phone. So I hung up and decided to keep Verizon for the time being. I have gotten a text message re a bill for almost",29,"I attempted to switch over from Verizon to T Mobile as I have not had good cell service with Verizon. Despite being on the phone for over 2 hours with customer representative and tech person they were unable to connect my phone. So I hung up and decided to keep Verizon for the time being. I have gotten a text message re a bill for almost $55 so I called and spoke with a customer representative last week. Explained everything, including the date and time spent on the phone trying to get connected. After about 30 minutes I was told this would be taken care of. Then I get a letter for unpaid bill threatening to send to collections agency and ruin my credit rating. I am presently on the phone with customer service, again. So far 28 minutes on the phone and no answer yet. Does T Mobile think I will just give up and pay this bill… No way! I’m glad I didn’t get connected after reading the other horrible reviews."
"San Antonio, TX","July 29, 2025 This is the worst internet on the entire planet of earth. Please do not buy this internet unless you want internet slower than a snail. It is the worst thing to every exist in this planet of earth, do not buy. Thanks for your vote",29,"This is the worst internet on the entire planet of earth. Please do not buy this internet unless you want internet slower than a snail. It is the worst thing to every exist in this planet of earth, do not buy."
WA,"July 29, 2025 These people are scammers. My bill is already 400 with two lines and Wi",29,"These people are scammers. My bill is already 400 with two lines and Wi-Fi. I paid on time before I was supposed to actually mind you. This will be my second payment. I paid my bill before it was due just for them to turn around and say I owe them 40 more dollars. Mind you I paid weeks before it was due. They’re saying they’re overcharging me because the first payment that I made (that was a few seconds before the second payment) didn’t go through because I keep my card locked. How can you charge somebody 40 extra dollars after already paying 400 just because my card was locked the first time I made the second payment right after that and there’s no point that they should be trying to take $40 from a hard-working, single mother that can barely afford the 400 as it is. I will be switching my services over back to Verizon."
"San Diego, CA","July 29, 2025 Fraud, fraud, fraud. I think they are the worst company there is, they take advantage of senior citizens, cheat senior citizens. Do not ever do business with Team Mobile unless you want to spend all your time on the phone trying to get your money back every month. I am a senior citizen and in January 2025 I had a credit card fraud done on the credit card that I had online with Team Mobile. I also have paperless billing with them so if there is a challenge they said they text me the information. They turned my phone off for nonpayment because I had credit card fraud and my credit card failed. More I called them 5 minutes after the phone was turned off. They put me through an hour in a half of badgering me. I proved to them that I had credit card fraud, and they would not remove the over charges or the increase charges, and I finally got the phone back up and going. They overcharged me, raised my bill without ever sending me a text to let me know and would not return the overcharged fees. I got the bill back to normal but It was the worst experience that I have ever had with a phone service until today. Since March when they put me through the ringer I found out that they had raised my bill",29,"I called them 5 minutes after the phone was turned off. They put me through an hour in a half of badgering me. I proved to them that I had credit card fraud, and they would not remove the over charges or the increase charges, and I finally got the phone back up and going. They overcharged me, raised my bill without ever sending me a text to let me know and would not return the overcharged fees. I got the bill back to normal but It was the worst experience that I have ever had with a phone service until today. Since March when they put me through the ringer I found out that they had raised my bill $20 a month because they decided that they wanted a debit card from their clients instead of a credit card. I called them and their girl proceeded to EXPLAIN how they sent me a text to tell me that they were raising my bill. I tried to tell her that was not true they never sent me a text and I tried to explain what happened in March and I tried to explain to her what happened and she started talking over me telling me that I was not going to interrupt her that she was going to Finish saying what she had to say that I was not going to be disrespectable to her. She was rude, disrespectful and horrible. She said that they would only give me back 2 months of the overcharges and I had to pay the other 3 months of overcharges. This is just another way for Team Mobile to CHEAT THEIR CUSTOMERS AND OVERCHARGE THEM. I think they are the worst company there is. The reason they did this is so they could get your debit card and not a credit card. Team mobile has been hacked many times and if they get you checking account you cannot get that money back. Worst thing in the world for a senior citizen"
"Kenton, DE","July 29, 2025 I have had T",23,"I looked up a T-Mobile and went to the one in Burlington NC in the shopping center and was helped by Nat. She was at the store for the weekend. First everyone in the store is nice and helpful even the girl who wears the different color hair was nice. Nat took great time and while working on me she helped others. Nat provided perfect service. The branch off of 85 in Burlington NC in the shopping center with Tjmaxx, Homewood is great. The only problem they need to move the store into a bigger location there because there are lots of traffic. Thanks NAT my birthday vacation turned out great. You fixed my phone issues. From KJ"
"Randolph, NJ","July 28, 2025 During phone conversations, a recording comes on saying,",28,"During phone conversations, a recording comes on saying, ""This call is being recorded"". Most of my callers are insulted or simply hang up. I called T-Mobile, and, after many transfers, I was told it was a software ""cliché"" and could not be fixed."
"Rigby, ID","July 28, 2025 I had to get out of a family plan on Verizon, and T",28,"Setting my account on the phone took hours, the better part of 2 days. Then, when I discovered the no-coverage problem, another half-day trying to troubleshoot over the phone, with the engineering department making me list a number of addresses where there was supposed to be coverage on the map, but where I couldn't make or receive calls. Turns out, they don't actually have coverage there, but they are ""looking into expanding it."" First, I was told to wait 5 or 6 weeks. By end of long conversation, I was told to check back in 1 or 2 weeks or the engineer would call me on Friday (in a few days). Didn't happen. Meanwhile, I switched back to Verizon. So I paid my ""final bill"" over the phone with T-mobile, then turned in my unused iPad device in their required window. I had had to keep using my old iPhone 14 because they couldn't activate a new one over the phone, and I wasn't going to drive 90 miles to a store. Long story short, after I cancelled, I did drive 90 miles to a store, tried to turn in my iPad and the store, even though it was an official corporate store, could only help me print out a label as a courtesy, so I could drop it off at a UPS store. Okaay. So today, almost a month later, I get a bill for device protection. I logged in to my T-mobile account. My login still worked. It showed I had a negative amount, a credit, balance. I online-chatted. They could not see that I was logged in. I sent him a screenshot of the negative balance. I had to keep trying with a passcode after I was sent a form; rep could still not see that I was logged in. Then popup said with too many incorrect attempts my account would be locked and I would have to drive to a store (90 miles away). The rep insisted there was no other solution. I asked for a supervisor or phone number. Got the same story from a supervisor by phone. Altogether I wasted about 2 hours on this. I verbally gave the same passcode to the supervisor, and it worked. She said I had a refund coming. What about the bill I got in the mail today (a month later after cancelling)? Disregard. Can I can a confirmation? No, sorry. And, if my passcode would not have worked I would have had to drive 90 miles to a store. I was considering ordering home internet from T-mobile since they have a tower in town. Nope. After this series of horrible customer service fiascos — I'm not faulting the individual agents, just the policies — I will not be a future customer. Everyone in this area says the same thing, so T-mobile can keep spending big marketing dollars on us, but they are not gaining any long term customers."
"Mayfield, KY","July 28, 2025 Wanted to make sure that I got online and gave a review for the lady that helped me at TMobile in Mayfield Ky. Her name is Mya and she is very friendly, helpful and knowledge about different plans, service and really went beyond to help me and make sure that I understood exactly what everything covers. Highly recommend her at that office. She is excellent",28,"Wanted to make sure that I got online and gave a review for the lady that helped me at TMobile in Mayfield Ky. Her name is Mya and she is very friendly, helpful and knowledge about different plans, service and really went beyond to help me and make sure that I understood exactly what everything covers. Highly recommend her at that office. She is excellent!!"
"Chicago, IL","July 28, 2025 Very dissatisfied with T",28,Very dissatisfied with T-Mobile. Purchased a new phone in May 2025 and just terribly hurt. 90% of my pictures from the old phone were deleted. I was told that happened because I had an old phone. I spent hours in the shop where there were only 2 attendants who did not know what to do. My pictures got deleted and I have less than 20% of photos. Terribly disappointed.
"Colorado Springs, CO","July 27, 2025 Bait",27,"This is a textbook bait-and-switch operation. They lure you in with shiny promises, then trap you once you’ve committed. Needless to say, I was taken. And as the old saying goes, if it sounds too good to be true, it usually is. In my personal opinion: DO NOT TRUST THIS COMPANY. I wouldn’t recommend them to my worst enemy. Shady practices like this are exactly why people are so skeptical of telecom companies. Lesson learned the hard way."
